observability,seed,unpatched,recovered_centroid,wrong_recovered_centroid,mean_activation,random_activation,shuffled_label_centroid,true_state_centroid_oracle
easy,17,0.813281312584877,0.32357893139123917,0.9371909126639366,0.71408511698246,0.6725523769855499,0.8761490136384964,0.48864058405160904
easy,29,0.783901259303093,0.32948292791843414,0.9352565929293633,0.713216632604599,0.7194564789533615,0.8854715526103973,0.4972914531826973
easy,43,0.7970046699047089,0.3190995529294014,0.9337115660309792,0.7218800634145737,0.6807768940925598,0.8986008316278458,0.48653168976306915
easy,7,0.7934477627277374,0.3174206092953682,0.9358222559094429,0.7042153403162956,0.6467700153589249,0.8916198313236237,0.48175348341464996
easy,71,0.7385200560092926,0.32359037920832634,0.9496301710605621,0.7151980474591255,0.6089816763997078,0.8642411530017853,0.48324669152498245
hard,17,0.03591665346175432,0.026279686018824577,0.02413726900704205,0.022016666363924742,0.05186041025444865,0.02334510232321918,0.02125869831070304
hard,29,0.04226665012538433,0.02297207177616656,0.022591886576265097,0.022367616649717093,0.04433920979499817,0.024760356405749917,0.022046804428100586
hard,43,0.04348674789071083,0.020536374766379595,0.023429248947650194,0.021923723630607128,0.05928999185562134,0.02263367408886552,0.021355683682486415
hard,7,0.04133649868890643,0.022248150780797005,0.023336683167144656,0.022526079090312123,0.04655146133154631,0.022955412277951837,0.022513259202241898
hard,71,0.03344275872223079,0.01952036051079631,0.020686009898781776,0.021683785365894437,0.02590254892129451,0.02536384854465723,0.021601200103759766
medium,17,0.39233268052339554,0.17930353060364723,0.38658542558550835,0.3582936078310013,0.3183083515614271,0.47333183884620667,0.2737262714654207
medium,29,0.381135243922472,0.21547423861920834,0.3807787401601672,0.3684155084192753,0.3576213475316763,0.45451645180583,0.27422038093209267
medium,43,0.39045869559049606,0.18270566128194332,0.3725646287202835,0.3696702793240547,0.38598124496638775,0.5086005125194788,0.2680701445788145
medium,7,0.38787101954221725,0.1666173730045557,0.4605518039315939,0.33739752881228924,0.3362739090807736,0.3506315164268017,0.2699111048132181
medium,71,0.37178192660212517,0.19754734635353088,0.36825812235474586,0.35274720564484596,0.3038944946601987,0.5017434507608414,0.27128483168780804
