observability,patch_type,n,kl_mean,kl_sd,kl_ci95
easy,mean_activation,20,0.7137190401554108,0.25581836828991517,0.11211734323230808
easy,random_activation,20,0.6657074883580207,0.26337233476241284,0.11542801500863085
easy,recovered_centroid,20,0.32263448014855384,0.2149143421082172,0.09419036334554934
easy,shuffled_label_centroid,20,0.8832164764404297,0.12605049617350186,0.05524406569613934
easy,true_state_centroid_oracle,20,0.48749278038740157,0.17240386843764713,0.07555932680445984
easy,unpatched,20,0.7852310121059418,0.256246009427153,0.11230476522426454
easy,wrong_recovered_centroid,20,0.9383222997188568,0.35644168501314316,0.1562174561899754
medium,mean_activation,20,0.3573048260062933,0.23954418890828572,0.10498486964273968
medium,random_activation,20,0.3404158695600927,0.228165084815196,0.09999775738880153
medium,recovered_centroid,20,0.1883296299725771,0.10054530338445453,0.04406592210445207
medium,shuffled_label_centroid,20,0.4577647540718317,0.2728778537816637,0.11959399239956942
medium,true_state_centroid_oracle,20,0.2714425466954708,0.1417577968679556,0.06212809374692167
medium,unpatched,20,0.3847159132361412,0.22698902692302042,0.0994823272918951
medium,wrong_recovered_centroid,20,0.39374774415045977,0.3033171705482831,0.13293461116941618
hard,mean_activation,20,0.022103574220091106,0.013446767788701287,0.005893305823225358
hard,random_activation,20,0.045588724431581795,0.02715790088934912,0.011902474852898179
hard,recovered_centroid,20,0.02231132877059281,0.0127101666090075,0.005570476122445397
hard,shuffled_label_centroid,20,0.023811678728088738,0.013102524086600039,0.005742434368755341
hard,true_state_centroid_oracle,20,0.02175512914545834,0.013015815044570337,0.005704432455555851
hard,unpatched,20,0.03928986177779734,0.016983141581031765,0.007443189973151295
hard,wrong_recovered_centroid,20,0.022836219519376755,0.013472338263021234,0.0059045125777094365
