observability,seed,actual_epochs,validation_gap,eval_loss,bayes_loss,unigram_loss,excess_loss,belief_kl,belief_r2,belief_argmax_acc,state_probe_acc,cluster_state_acc,bayes_state_ceiling,transition_kl,transition_fro,shuffled_transition_kl,random_transition_kl,order1_gain,order2_gain,history1_belief_kl,history2_belief_kl,history4_belief_kl,untrained_belief_kl,same_scrub_kl,different_scrub_kl,scrub_gap,sae_transition_kl,sae_belief_kl,sae_cluster_state_acc
easy,7,25.0,0.019988315164460868,1.520633339881897,1.5042708684809525,1.6184301788242101,0.01636247140094449,0.0294303204352435,0.921094883781918,0.90859375,0.54734375,0.496875,0.5559375,0.11647707330533001,0.4359317723261612,0.36724147222218784,0.3515708086375179,0.13525641025641028,0.010273279352226716,0.021665599194708885,0.03486495565305811,0.028416247554411803,0.028194194760021024,0.007593587040901184,0.2931382656097412,0.2855446934700012,0.11707045833517295,0.03155391776565579,0.49390625
easy,17,23.0,0.019669678990888784,1.5059372186660767,1.4863756537340813,1.6064554850071062,0.019561564931995346,0.037395188111218794,0.9247920430359655,0.8990625,0.55359375,0.49546875,0.56328125,0.10980478235876943,0.4217600901926256,0.37781830001099603,0.3475419822727571,0.1298076923076923,0.01380313765182184,0.021686204796141775,0.03545005117077747,0.02798840385960759,0.04108478484265317,0.011860169470310211,0.3047075569629669,0.2928473949432373,0.10993445649836708,0.026443994560614338,0.49609375
easy,29,19.0,0.019078002459073318,1.5066628456115723,1.4851799908431496,1.609841217119941,0.02148285476842271,0.02959117420130929,0.9286490700230426,0.89640625,0.55359375,0.4896875,0.5553125,0.10926872883316954,0.42641665506679177,0.3888031687513284,0.36844964317721635,0.13269230769230766,0.010952260458839402,0.020354802814946674,0.034370808061799464,0.02843974649921279,0.03181188306495149,0.004045689012855291,0.23431654274463654,0.2302708476781845,0.13549105944960615,0.035814994955712505,0.5028125
easy,43,21.0,0.01965057499895928,1.5294908285140991,1.5085530641281761,1.6335454983360496,0.020937764385922986,0.02519356311667173,0.9259938604985286,0.89375,0.54703125,0.48765625,0.55140625,0.11812034765010829,0.4499069829915785,0.3824764106353121,0.35328505946420685,0.14439102564102563,0.011095647773279371,0.021919631482600246,0.031245366833662202,0.024427198573238565,0.028503357386800383,0.009922410361468792,0.17622709274291992,0.16630467772483826,0.10297436394233685,0.030630913237830053,0.508125
easy,71,24.0,0.01965302518111356,1.521268367767334,1.5005886258292764,1.6195005698229192,0.02067974193805755,0.02377308307270047,0.924741948492889,0.91703125,0.55234375,0.485625,0.5609375,0.1177395156053626,0.4452096770843007,0.37698851859415067,0.3725332486306905,0.12900641025641024,0.009278002699055377,0.020648919798064914,0.033154816038711094,0.02683970495607982,0.030036263523884364,0.010224130935966969,0.16970624029636383,0.15948210656642914,0.1177395156053626,0.02368363729848468,0.485625
hard,7,11.0,0.019361661405356445,1.8090453147888184,1.7905657061903155,1.7907366410337502,0.01847960859850284,0.0030716460967925375,0.7700472281204063,0.8546875,0.3725,0.30375,0.385625,0.31915447423150495,0.817186383264201,0.3378169985738718,0.3515708086375179,-0.0019230769230769162,-0.004175101214574928,0.00439834983602222,0.0017881072604510253,0.0004148236896797527,0.0029501784328902427,0.0006694002659060061,0.003269606502726674,0.002600206295028329,0.3920514481917528,0.003906306126256895,0.29703125
hard,17,9.0,0.01972157945336006,1.8082563877105713,1.7896399527666516,1.7895328028562816,0.018616434943919735,0.0029472809140866554,0.7756753466475756,0.85328125,0.38078125,0.29,0.38828125,0.3545413538641513,0.8439373947628235,0.3526794902775427,0.3475419822727571,0.005288461538461575,0.007085020242914963,0.004236089886021694,0.0016945198206542683,0.00038385971010809566,0.002963092230487564,0.0013059001648798585,0.00365778268314898,0.0023518824018538,0.46203129772109686,0.0036642496220305586,0.30265625
hard,29,9.0,0.019289926314855155,1.8101593255996704,1.7904386444689933,1.7907371924030977,0.019720681130677153,0.002843180920964155,0.7808912058440493,0.8603125,0.37,0.2821875,0.3765625,0.3325049129092834,0.825696353920224,0.3426001611335588,0.36844964317721635,0.0011217948717948678,0.00925691632928477,0.004246022315001808,0.0017145780958959325,0.0003950753315360292,0.0028213989617071034,0.0008779196068644524,0.0025040118489414454,0.001626092242076993,0.4147736055391005,0.003695836573290363,0.2740625
hard,43,12.0,0.017506706209614586,1.806654930114746,1.7896821453996865,1.7899778857658277,0.016972784715059586,0.0030133822746513444,0.77698347013503,0.84921875,0.34953125,0.27265625,0.3603125,0.3795390748016952,0.8814057482500052,0.39172482191990843,0.35328505946420685,-0.007371794871794901,0.005469804318488536,0.004479844380590123,0.0018131293789418182,0.00042302244490634034,0.0032106698332154404,0.0011244476772844791,0.0024133019614964724,0.0012888542842119932,0.3984497010766218,0.004015389035553955,0.28015625
hard,71,11.0,0.01822007925047142,1.8107856512069702,1.7895326407575924,1.7893662603689848,0.021253010449377774,0.002836422047867779,0.7831306305802174,0.878125,0.37953125,0.30515625,0.38765625,0.4137099090084992,0.9471645307392047,0.4095008860064304,0.3725332486306905,0.0,0.0006157219973009775,0.004200829736472741,0.0016949507294579738,0.00038934518310776976,0.0027222654407634017,0.0009554268908686936,0.0032479811925441027,0.00229255435988307,0.4125085215201379,0.0035830820132224366,0.31125
medium,7,19.0,0.019745098574526443,1.726218819618225,1.7153720268076824,1.7542864986231108,0.010846792810542683,0.023534586854736816,0.8473392824151119,0.9303125,0.50421875,0.461875,0.509375,0.21381838187419144,0.6639333703731356,0.36005229085903234,0.3515708086375179,0.0,0.0017754723346828372,0.02642425613075996,0.010814714380794328,0.009460778596819088,0.024005298318156378,0.0026377064641565084,0.08817920833826065,0.0855415016412735,0.21333684773475958,0.026488972321086993,0.46515625
medium,17,14.0,0.018596317636628834,1.729373574256897,1.707041646661829,1.7596792387549778,0.02233192759506797,0.026694637300359793,0.8491079073150763,0.93625,0.52046875,0.45921875,0.52796875,0.17158608217610982,0.560749510015435,0.3224258985213431,0.3475419822727571,0.08862179487179489,0.0026737516869095312,0.02733577823405071,0.01076281404000523,0.015595161134742434,0.025991583535095463,0.003054847940802574,0.0956454649567604,0.09259061515331268,0.22211650260634044,0.02723752537405205,0.438125
medium,29,15.0,0.019429361549783808,1.7247401475906372,1.7042212815951916,1.7567742563522497,0.020518865995445612,0.024598330417228045,0.851891713725488,0.93625,0.511875,0.39203125,0.514375,0.26200220398631385,0.7246898034628253,0.3985728489031465,0.36844964317721635,0.014423076923076927,-0.001269399460188947,0.02666205581321032,0.010583675017982968,0.009289840976199322,0.023924290259111327,0.009829727001488209,0.07496862858533859,0.06513889878988266,0.3034571074572896,0.027410115662935466,0.38578125
medium,43,16.0,0.01946127043022794,1.733950138092041,1.7117786718217394,1.7639976818413698,0.022171466270301643,0.025484946716305464,0.8466771697202639,0.95828125,0.50890625,0.4371875,0.51453125,0.19238446162745998,0.6076102316056136,0.3374048025287058,0.35328505946420685,0.10528846153846155,0.0035172064777327927,0.028653970567391374,0.011492390953578468,0.009577767314498529,0.026417481994228345,0.0031799350399523973,0.08602669090032578,0.0828467532992363,0.26039777632807853,0.028538557832078926,0.40578125
medium,71,17.0,0.01957517168014755,1.7259188890457153,1.7028662960928707,1.752122628016742,0.023052592952844675,0.022885601576395204,0.8498530772083501,0.9290625,0.51265625,0.40984375,0.52109375,0.2674346964668844,0.7495208050647684,0.354685715897613,0.3725332486306905,0.007532051282051311,0.004870951417004055,0.026373007624039935,0.010696294421476819,0.013300318932870545,0.023157232793850478,0.01783941313624382,0.05265560746192932,0.0348161943256855,0.2926441115618738,0.026528432275241404,0.39890625
